Chapter,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Answer
Introduction to Trigonometry,Easy,What is the value of sin(30°)?,(A) 1,(B) 0,(C) 0.5,(D) √3/2,(C) 0.5
Introduction to Trigonometry,Easy,What is the value of cos(90°)?,(A) 1,(B) 0,(C) -1,(D) Undefined,(B) 0
Introduction to Trigonometry,Easy,What is the value of tan(45°)?,(A) 1,(B) 0,(C) √2,(D) Undefined,(A) 1
Introduction to Trigonometry,Easy,What is the reciprocal of tan(θ)?,(A) sin(θ),(B) cos(θ),(C) cot(θ),(D) sec(θ),(C) cot(θ)
Introduction to Trigonometry,Easy,"If sin(θ) = 0, what is the value of θ between 0° and 360°?",(A) 90°,(B) 0° and 180°,(C) 270°,(D) 360°,(B) 0° and 180°
Introduction to Trigonometry,Easy,What is the value of sec(90°)?,(A) 1,(B) 0,(C) Undefined,(D) ∞,(C) Undefined
Introduction to Trigonometry,Easy,What is the value of cot(45°)?,(A) 0,(B) 1,(C) √2,(D) Undefined,(B) 1
Introduction to Trigonometry,Easy,What is the ratio for cos(θ) in a right triangle?,(A) Opposite/Hypotenuse,(B) Hypotenuse/Adjacent,(C) Adjacent/Hypotenuse,(D) Adjacent/Opposite,(C) Adjacent/Hypotenuse
Introduction to Trigonometry,Easy,"If sin(45°) = x, then x is equal to:",(A) 1,(B) 1/2,(C) √2/2,(D) √3/2,(C) √2/2
Introduction to Trigonometry,Easy,What is the value of tan(0°)?,(A) 0,(B) 1,(C) Undefined,(D) ∞,(A) 0
Introduction to Trigonometry,Easy,The hypotenuse is always the _____ side of a right triangle.,(A) Shortest,(B) Longest,(C) Middle,(D) None of these,(B) Longest
Introduction to Trigonometry,Easy,"If tan(θ) = 1, what is the value of θ between 0° and 90°?",(A) 30°,(B) 60°,(C) 45°,(D) 90°,(C) 45°
Introduction to Trigonometry,Easy,Which of the following is true for a right triangle?,(A) sin²(θ) + cos²(θ) = 1,(B) tan²(θ) + 1 = sec²(θ),(C) cot²(θ) + 1 = cosec²(θ),(D) All of the above,(D) All of the above
Introduction to Trigonometry,Easy,"If sin(30°) = 1/2, what is cos(30°)?",(A) √3/2,(B) 1/2,(C) √2/2,(D) 0,(A) √3/2
Introduction to Trigonometry,Easy,What is the reciprocal of sin(θ)?,(A) cos(θ),(B) sec(θ),(C) tan(θ),(D) cosec(θ),(D) cosec(θ)
Introduction to Trigonometry,Easy,What is the value of sec(0°)?,(A) 1,(B) Undefined,(C) 0,(D) ∞,(A) 1
Introduction to Trigonometry,Easy,Which trigonometric ratio is equal to 1 for all values of θ?,(A) sin(θ) + cos(θ),(B) sin²(θ) + cos²(θ),(C) tan(θ) + cot(θ),(D) sec(θ) + cosec(θ),(B) sin²(θ) + cos²(θ)
