Question,Option A,Option B,Option C,Option D,Correct Option,Generated MCQ,Difficulty,Chapter
What is the value of sin(30°)?,1,0,0.5,√3/2,(C),,Easy,Introduction to Trigonometry
What is the value of cos(90°)?,1,0,-1,Undefined,(B),"Write the HTML for the question, and the choices.",Easy,Introduction to Trigonometry
What is the value of tan(45°)?,1,0,√2,Undefined,(A),"To create a question like this, you can use the `question` function from the `math-questions` package, and specify the format of the question using the `format` parameter. In this case, we're using the ""multiple-choice"" format, which allows the user to select one of several possible answers.
Here's an example of how you could use the `question` function to generate a multiple-choice question in this format:
```
    Question: What is the value of tan(45°)?
    (A) 1
    (B) 0
    (C) √2
    (D) Undefined
    Correct Answer: (A)
```
You can use the `question` function to generate a wide range of math questions in different formats, including multiple-choice, fill-in-the-blank, and proof-based questions. For more information, see the documentation for the `math-questions` package.",Easy,Introduction to Trigonometry
What is the reciprocal of tan(θ)?,sin(θ),cos(θ),cot(θ),sec(θ),(C),"Explanation:
The reciprocal of tan(θ) is cot(θ). To find the reciprocal, we take the argument of the function and change it from a ratio of sides to a ratio of opposite sides. For example, if we have the equation tan(x) = y, then the reciprocal equation would be cot(x) = 1/y.",Easy,Introduction to Trigonometry
"If sin(θ) = 0, what is the value of θ between 0° and 360°?",90°,0° and 180°,270°,360°,(B),"Explanation: When sin(θ) = 0, it means that θ is equal to 0 or 180 degrees. Therefore, the possible values of θ between 0° and 360° are 0°, 180°, and 360°.",Easy,Introduction to Trigonometry
What is the value of sec(90°)?,1,0,Undefined,∞,(C),Please choose the answer you think is correct.,Easy,Introduction to Trigonometry
What is the value of cot(45°)?,0,1,√2,Undefined,(B),"To create a similar question, simply replace ""cot"" with another trigonometric function, such as ""sin"" or ""cos"".",Easy,Introduction to Trigonometry
What is the ratio for cos(θ) in a right triangle?,Opposite/Hypotenuse,Hypotenuse/Adjacent,Adjacent/Hypotenuse,Adjacent/Opposite,(C),Explanation: The ratio of the length of the adjacent side to the length of the hypotenuse is equal to the ratio of the cosine of the angle opposite that side.,Easy,Introduction to Trigonometry
"If sin(45°) = x, then x is equal to:",1,1/2,√2/2,√3/2,(C),"Explanation:
The given question is a classic trigonometric identity, where sin(45°) = x. To solve for x, we can use the unit circle definition of sine, which states that sin(x) = opposite side / hypotenuse. In this case, the angle is 45°, and the opposite side is x. Therefore, x = √2/2, which is the correct answer.
The other options are not correct because they do not satisfy the identity:
(A) 1 is not equal to sin(45°).
(B) 1/2 is not equal to sin(45°).
(D) √3/2 is not equal to sin(45°).",Easy,Introduction to Trigonometry
What is the value of tan(0°)?,0,1,Undefined,∞,(A),Can you provide such a question and let me know the answer?,Easy,Introduction to Trigonometry
The hypotenuse is always the _____ side of a right triangle.,Shortest,Longest,Middle,None of these,(B),"Explanation: A right triangle has two legs and one hypotenuse, which is the side opposite the right angle. The length of the hypotenuse is always the longest side of the triangle, so the correct answer is (B) Longest.",Easy,Introduction to Trigonometry
"If tan(θ) = 1, what is the value of θ between 0° and 90°?",30°,60°,45°,90°,(C),"Explanation:
If tan(θ) = 1, then we can use the inverse tangent function to solve for θ. The inverse tangent function is defined as:
tan(x) = y if and only if sin(y) = x
So in this case, we can set up the equation:
sin(θ) = tan(θ) = 1
Now we can solve for θ:
0 ° < θ < 90°
cos(θ) = 1
And there is our solution: 45 °. Therefore the answer is (C).",Easy,Introduction to Trigonometry
Which of the following is true for a right triangle?,sin²(θ) + cos²(θ) = 1,tan²(θ) + 1 = sec²(θ),cot²(θ) + 1 = cosec²(θ),All of the above,(D),"This is a standard format for multiple-choice questions in geometry, where the options are all formulas related to trigonometry. The question asks which one is true for a right triangle, and the answer is option D, indicating that all of the options are true.",Easy,Introduction to Trigonometry
"If sin(30°) = 1/2, what is cos(30°)?",√3/2,1/2,√2/2,0,(A),"Explanation:
If sin(30°) = 1/2, then cos(30°) = -sin(30°) = -1/2. Therefore, the correct answer is (A) √3/2.",Easy,Introduction to Trigonometry
What is the reciprocal of sin(θ)?,cos(θ),sec(θ),tan(θ),cosec(θ),(D),"The reasoning for this question can be explained as follows: 

In trigonometry, the reciprocal of sin(θ) is given by cosec(θ). Therefore, the correct answer is (D) cosec(θ).",Easy,Introduction to Trigonometry
What is the value of sec(0°)?,1,Undefined,0,∞,(A),"The correct answer should be option A, which states that the value of sec(0°) is 1.",Easy,Introduction to Trigonometry
Which trigonometric ratio is equal to 1 for all values of θ?,sin(θ) + cos(θ),sin²(θ) + cos²(θ),tan(θ) + cot(θ),sec(θ) + cosec(θ),(B),"Explanation: The ratio of the length of the hypotenuse to the length of one of the legs is equal to sin²(θ) + cos²(θ), which is always equal to 1 for any value of θ.",Easy,Introduction to Trigonometry
"If sin(θ) = cos(θ), what is the value of θ in the first quadrant?",0°,45°,90°,180°,(B),"Explanation: If sin(θ) = cos(θ), then we can use the formula for sin(x) to solve for x.
sin(x) = cos(x)
x = ...
Now, since θ is in the first quadrant, we know that x is also in the first quadrant. So, the answer is (B) 45°.",Easy,Introduction to Trigonometry
What is the value of tan(30°)?,1/√3,√3/3,√3,Both A and B,(D),"Write a rational expression in this format:
    15x^2 + 6x - 8 / (x+4)

What is the value of the following expression?
    3(2x+5) / (x-2)

Solve for x in the equation:
    2x + 5 = 10

Use a number line to solve the inequality:
   3x - 2 > 7

Simplify the expression:
    (2x^2 + 4x + 3) / (x+2)

Solve for y in the equation:
    5y - 3 = 12

Use a table of values to find the value of the function:
    f(x) = x^2 - 4x + 3

What is the value of the following expression?
    (3x^2 + 2x - 1) / (x+1)

Solve for x in the equation:
    2x - 5 = 10

Use a graphing tool to solve the inequality:
   4x + 5 > 9",Easy,Introduction to Trigonometry
"If cot(45°) = x, what is x?",0,1,√2,√3,(B),"Explanation:
The given equation is cot(45°) = x. We need to find the value of x.
Cot(45°) = cot(π/4) = 1/√2
So, x = 1/√2. Therefore, the correct answer is (B) 1/√2.",Easy,Introduction to Trigonometry
"If sin²(θ) = 0.25, what is the value of cos²(θ)?",0.75,0.5,0.25,1,(A),"Explanation:
We are given that sin²(θ) = 0.25, which can be rewritten as cos²(θ) = 0.75. Therefore, the correct answer is (A) 0.75.",Easy,Introduction to Trigonometry
What is the complementary angle of 30°?,60°,45°,90°,15°,(A),"In this format, provide the options and their corresponding letters. Make sure that each option is distinct from the others, including duplicates if they occur at the ends of a continuum like here between options B & C where the two angles are the same value just 90° apart.",Easy,Introduction to Trigonometry
"If tan(θ) = sin(θ)/cos(θ), then tan(45°) = ?",0,1,Undefined,√2,(B),"Explanation:
If tan(θ) = sin(θ)/cos(θ), then we can substitute θ = 45° to get tan(45°) = sin(45°)/cos(45°).
So, the correct answer is (B) 1.",Easy,Introduction to Trigonometry
"If sin(A) = 3/5 in a right triangle, what is cos(A)?",4/5,3/5,5/4,5/3,(A),"Answer: The question is asking for the value of cos(A) given that sin(A) = 3/5. To find the value of cos(A), we can use the Pythagorean identity, which states that sin(A) + cos(A) = 1.
So, if sin(A) = 3/5, then cos(A) = 5/3. Therefore, the correct answer is (D) 5/3.",Easy,Introduction to Trigonometry
What is the value of sin(30°)?,1,1/2,√3/2,0,(B),"To generate a question in this format, you can use the `question` function from the `math-question` package, like this:
```
Question = question(""What is the value of sin(30°)?"", choices=c(1, 1/2, sqrt(3)/2, 0), correct=B)
```
This will generate a question with four possible answers, and the correct answer is (B) 1/2. You can modify the `choices` argument to include additional options, and the `correct` argument to specify the correct answer.",Easy,Introduction to Trigonometry
The value of cos(90°) is:,1,√2/2,0,√3/2,(C),"In order to create this question, I will need you to tell me which answer choice is correct.",Easy,Introduction to Trigonometry
What is the reciprocal of sin(A)?,cot,cosec(A),sec(A),tan(A),(B),The answer key would be provided after the question.,Easy,Introduction to Trigonometry
The value of cos²(A) + sin²(A) is:,0,1,2,None of these,(B),"Explanation:
The value of cos²(A) + sin²(A) is equal to 1, since the square of a sine or cosine function is always non-negative. Therefore, the correct answer is (B) 1.",Easy,Introduction to Trigonometry
"If tan(A)=1, what is the value of A?",30°,45°,60°,90°,(B),,Easy,Introduction to Trigonometry
